Gene AMY1A ANAPC11 ANKRD20A3 ANXA8L1 AREG ARL17B ATG4B AURKAIP1 BOLA2B BTNL8 C16orf54 C4B C6orf124 CBWD3 CCL3 CCL4 CCR2 CCR5 CCRL2 CDC37P1 CFC1 CKMT1A CLEC18A CR1 CSH D2HGDH DEFA1 DEFB103A DEFB104A DEFB105A DEFB106A DEFB107A DEFB130 DGAT1 DHRS4 DTYMK DUX4 EIF3C ELA FAM203A FAM21B FAM23A FAM72A FAM75A1 FAM75A5 FAM90A FCGBP FCGR FOXD4L2 FUSIP1 GOLGA6L9 GOLGA8G GSTM GSTT2 GTF2H2C GUSBP1 HGD HIST2 HP HRNR KIF22 KIR2DL2 KIR2DL4 KIR2DL5A KIR2DS2 KIR3DP1 KLRC2 KPNA2 KRT39 KRT40 KRTAP1-1 KRTAP2-1 KRTAP3-1 KRTAP4-1 KRTAP5-1 KRTAP7-1 KRTAP8-1 KRTAP9-1 LCE2 LIMS3 LOC100506776 LOC23117 LOC653606 LOC727800 LOC728932 LPA MAFG MGC59937 MRC1 MUC12 MUC5AC NBPF10 NBPF11 NBPF16 NDUFB4 NEB NPB NPIP ORM1 P4HB PCYT2 PGA3 PLGLB2 PPIAP21 PRAMEF14 PRAMEF20 PRAMEF5 PRAMEF8 PRR11 PRR20A_2 PRR20A_1 PSG3 PTPN20A PYCR1 REXO1L1_1 REXO1L1_2 RGPD1 RGPD6 RPS17 RSPH10B SCRT1 SCXB SERF1B SFTPA1 SIRT7 SLX1B SMN2 SNAR-A1 SPAG11 SPDYE3 SULT1A1 SULT1A3 TAS1R3 TBC1D3_1 TBC1D3_2 TCEB3C THAP4 TMEM106A TMEM167B TMPRSS11E TP53TG3 TRIM49L1 UGT2B15 USP17 ZFP62 ZG16 ZNF658B 
CHB 8 2 29 4 2 6 2 3 6 2 3 5 2 10 5 5 2 2 2 13 4 4 8 4 7 2 4 3 3 3 3 3 5 3 5 2 506 4 4 2 4 2 8 11 12 29 6 4 12 3 33 32 3 2 5 13 2 8 4 4 2 11 4 11 12 7 4 3 2 2 2 2 4 2 2 2 2 3 3 5 2 48 6 2 4 7 2 3 2 10 2 328 48 47 2 2 2 49 4 3 2 7 7 52 12 7 19 6 8 12 12 10 4 3 196 214 14 14 3 4 2 6 4 4 2 7 4 63 3 34 4 6 2 24 25 36 2 2 2 2 7 14 3 144 2 2 7 
CHB 8 2 30 5 2 5 2 2 7 2 3 3 2 14 4 5 2 2 2 21 4 5 7 4 7 2 8 3 3 3 3 3 5 3 5 2 477 5 3 2 4 2 7 12 11 49 5 5 15 3 27 30 3 4 4 13 2 9 4 2 2 9 4 8 8 7 4 3 2 2 2 2 4 2 2 2 2 4 4 6 2 48 5 2 4 2 2 3 2 11 3 299 47 45 2 2 2 48 5 2 2 6 7 51 13 7 16 7 7 12 11 15 4 1 167 180 12 13 3 4 2 3 3 3 2 8 3 63 2 32 3 8 2 32 33 28 2 2 2 2 5 15 2 152 2 2 6 
CHB 13 2 33 4 2 8 2 3 6 3 2 5 2 13 12 10 2 2 2 14 4 4 7 4 7 2 7 2 3 2 2 2 6 3 5 2 438 4 3 2 4 2 8 13 13 37 5 5 15 3 30 34 4 2 3 13 2 8 4 1 2 10 3 8 9 8 4 3 2 2 2 2 4 2 2 2 2 3 4 6 3 45 5 2 4 5 2 3 2 13 3 361 49 51 2 2 2 50 4 2 3 8 8 51 13 7 17 4 8 22 21 17 4 3 189 199 14 15 3 4 2 4 4 3 2 7 3 60 2 34 4 7 2 44 47 21 2 2 2 2 8 14 3 169 2 2 8 
CHB 12 2 29 5 2 5 2 2 6 2 2 5 2 13 10 7 2 2 2 20 4 5 6 4 8 2 6 3 3 3 3 3 4 2 5 2 345 4 4 2 4 2 7 11 10 39 4 4 14 3 26 28 3 5 4 15 2 9 3 2 2 8 3 8 8 8 4 3 2 2 2 2 4 2 2 2 2 3 3 6 2 49 7 2 4 5 2 3 2 10 3 264 49 45 2 2 2 54 4 2 2 8 7 50 12 8 19 6 7 12 12 14 3 3 142 145 13 14 3 4 2 3 3 4 2 6 3 48 2 35 2 7 2 38 37 21 2 2 2 2 4 12 2 155 2 2 6 
CHB 8 2 26 5 2 10 2 2 6 2 2 6 2 12 9 6 2 2 2 8 4 5 8 3 8 3 6 4 4 4 4 4 6 2 6 2 259 4 4 2 5 2 7 14 13 62 5 4 15 3 28 30 4 2 4 12 2 9 4 2 2 10 2 7 9 5 4 3 2 2 2 2 5 2 2 2 2 3 4 6 2 48 7 1 4 5 2 2 2 13 2 179 46 42 2 2 2 48 4 2 2 7 8 48 10 9 16 6 8 16 16 17 4 3 172 146 15 15 3 4 2 2 4 4 2 7 4 56 4 35 5 6 2 47 46 27 2 2 2 2 4 13 2 107 2 2 6 
CHB 9 2 35 4 3 8 2 3 6 2 2 4 2 19 8 6 2 2 2 12 4 4 11 3 7 2 8 5 5 5 5 5 5 2 6 2 406 4 3 2 4 2 8 20 19 63 6 7 22 3 26 29 5 4 4 15 2 9 4 2 2 9 4 8 9 8 3 3 2 2 2 2 4 2 2 2 2 3 3 5 3 51 4 2 4 6 2 3 2 18 2 238 48 51 2 2 2 49 5 2 2 7 7 48 12 8 11 6 8 18 17 15 4 3 179 178 15 14 3 7 2 3 4 4 2 6 4 65 5 39 4 7 2 47 50 32 2 2 2 3 5 15 3 190 2 2 10 
CHB 15 2 31 5 2 8 2 3 6 2 3 3 2 14 8 5 2 2 2 28 4 5 8 4 7 2 9 6 6 7 6 6 6 2 5 2 504 4 4 2 5 2 9 15 15 72 7 4 16 3 27 33 4 4 4 14 2 10 5 2 2 14 7 12 13 13 4 3 2 2 2 2 4 2 2 2 2 3 4 5 3 47 5 2 4 6 2 2 2 12 2 252 50 52 2 2 2 48 4 2 3 10 8 49 12 8 15 6 9 7 7 15 4 3 173 179 14 16 3 4 2 1 4 4 2 6 4 56 6 29 2 7 3 38 39 17 2 2 2 2 9 16 4 134 3 2 8 
CHB 14 2 30 5 2 8 2 2 8 2 3 5 2 15 14 9 2 2 3 15 4 5 9 4 8 2 9 5 5 5 5 4 5 3 5 2 340 5 3 2 5 2 7 13 12 68 8 5 17 3 29 27 4 5 4 15 2 8 5 1 2 11 5 7 9 10 5 3 2 2 2 2 5 3 2 2 2 3 4 6 3 50 6 1 4 6 2 2 2 12 2 202 43 46 2 2 2 50 4 3 3 10 8 52 13 9 17 6 9 21 19 13 4 3 193 187 15 14 3 4 2 1 3 4 2 9 3 70 5 31 2 9 3 52 57 29 2 2 2 2 7 19 3 139 3 2 7 
CHB 8 2 32 4 2 5 2 3 7 2 3 5 2 14 3 4 2 2 2 21 4 4 12 4 7 2 6 3 3 3 3 3 6 3 4 2 507 3 4 2 4 2 8 11 13 56 4 3 14 3 27 34 4 5 4 18 2 9 3 1 2 12 3 9 10 8 5 3 2 2 2 2 4 2 2 2 2 3 3 5 2 50 6 2 4 7 2 3 2 15 3 474 51 54 2 2 2 51 4 3 2 8 7 52 13 7 18 6 8 19 17 16 4 3 132 151 12 14 3 4 2 4 4 4 2 7 4 49 3 32 2 7 2 27 24 22 2 2 2 2 6 11 2 185 2 2 7 
CHB 11 2 31 5 2 3 2 2 5 3 3 4 2 14 3 4 2 2 2 21 4 5 9 4 7 2 7 3 3 3 3 3 5 3 5 2 466 4 3 2 4 2 8 11 12 25 6 4 15 3 25 30 4 4 3 18 2 8 4 3 2 9 5 7 8 7 5 3 2 2 1 2 4 2 2 2 2 4 4 5 2 45 5 2 4 5 2 2 2 14 3 314 46 51 2 2 2 49 4 3 2 10 7 47 14 7 14 7 7 19 17 15 4 3 166 185 14 14 3 4 2 2 4 3 2 4 3 71 2 31 3 5 3 31 32 34 2 2 2 2 11 12 5 134 2 2 6 
